date,event,position_key,entry_price,exit_price,quantity,pnl
2022-06-10,early_exit,SPY_400P_20220630,7.175000000000001,15.325,2,1629.9999999999998
2022-06-10,early_exit,SPY_390P_20220701,5.205,10.17,4,1986.0
2022-06-10,early_exit,SPY_391P_20220701,5.4399999999999995,10.64,4,2080.0000000000005
2022-06-10,early_exit,SPY_392P_20220701,5.685,11.120000000000001,3,1630.5000000000002
2022-06-10,early_exit,SPY_391P_20220708,4.425000000000001,11.84,1,741.4999999999999
2022-08-26,early_exit,SPY_408P_20220914,2.75,9.219999999999999,1,646.9999999999999
2022-08-29,early_exit,SPY_394P_20220921,4.25,6.630000000000001,2,476.00000000000017
2022-08-29,early_exit,SPY_395P_20220921,4.449999999999999,6.955,1,250.50000000000009
2022-08-29,early_exit,SPY_394P_20220923,4.005,7.109999999999999,2,620.9999999999999
2022-08-29,early_exit,SPY_395P_20220923,4.205,7.4399999999999995,2,646.9999999999999
2022-08-29,early_exit,SPY_396P_20220923,4.41,7.789999999999999,2,675.9999999999998
2022-08-29,early_exit,SPY_397P_20220923,4.625,8.15,2,705.0000000000001
2022-08-29,early_exit,SPY_398P_20220923,4.855,8.52,2,732.9999999999998
2022-08-29,early_exit,SPY_399P_20220923,5.095000000000001,8.91,2,762.9999999999999
2022-08-29,early_exit,SPY_400P_20220923,5.34,9.309999999999999,2,793.9999999999998
2022-08-29,early_exit,SPY_401P_20220923,5.6,9.73,2,826.0000000000001
2022-08-29,early_exit,SPY_402P_20220923,5.945,10.17,4,1689.9999999999998
2022-08-29,early_exit,SPY_403P_20220923,6.154999999999999,10.620000000000001,2,893.0000000000003
2022-08-29,early_exit,SPY_404P_20220923,6.455,11.09,2,927.0
2022-08-29,early_exit,SPY_405P_20220923,6.76,11.559999999999999,1,479.9999999999999
2022-08-30,early_exit,SPY_393P_20220923,3.815,7.970000000000001,2,831.0000000000002
2022-09-14,early_exit,SPY_378P_20221007,4.395,4.32,2,-14.999999999999858
2022-09-14,early_exit,SPY_380P_20221007,4.83,4.800000000000001,2,-5.999999999999872
2022-09-14,early_exit,SPY_381P_20221007,5.0600000000000005,5.0600000000000005,2,0.0
2022-09-14,early_exit,SPY_382P_20221007,5.3100000000000005,5.33,2,3.9999999999999147
2022-09-14,early_exit,SPY_383P_20221007,5.5600000000000005,5.605,2,8.999999999999986
2022-09-14,early_exit,SPY_384P_20221007,5.82,5.895,2,14.999999999999858
2022-09-14,early_exit,SPY_385P_20221007,6.095000000000001,6.199999999999999,2,20.99999999999973
2022-09-14,early_exit,SPY_386P_20221007,6.380000000000001,6.51,2,25.9999999999998
2022-09-14,early_exit,SPY_387P_20221007,6.67,6.84,2,33.999999999999986
2022-09-14,early_exit,SPY_388P_20221007,6.98,7.18,2,39.99999999999986
2022-09-14,early_exit,SPY_389P_20221007,7.300000000000001,7.535,2,46.999999999999886
2022-09-14,early_exit,SPY_390P_20221007,7.630000000000001,7.904999999999999,2,54.999999999999716
2022-09-14,early_exit,SPY_391P_20221007,7.970000000000001,8.29,2,63.9999999999997
2022-09-14,early_exit,SPY_392P_20221007,8.325,8.675,2,70.00000000000028
2022-09-14,early_exit,SPY_393P_20221007,8.695,9.095,2,80.00000000000007
2022-09-14,early_exit,SPY_392P_20221012,4.175000000000001,9.385,2,1041.9999999999998
2022-09-14,early_exit,SPY_394P_20221012,4.605,10.23,2,1125.0
2022-09-14,early_exit,SPY_395P_20221012,4.84,10.684999999999999,2,1168.9999999999998
2022-09-14,early_exit,SPY_396P_20221012,5.08,11.14,2,1212.0
2022-09-15,early_exit,SPY_376P_20220930,4.8149999999999995,3.425,2,-277.99999999999994
2022-09-30,early_exit,SPY_348P_20221026,6.345,6.475,2,25.99999999999998
2022-09-30,early_exit,SPY_350P_20221026,6.89,7.1,2,41.99999999999999
2022-10-11,early_exit,SPY_359P_20221104,4.859999999999999,11.399999999999999,2,1307.9999999999998
2022-11-03,early_exit,SPY_360P_20221123,5.210000000000001,4.095000000000001,2,-223.00000000000006
2022-12-16,early_exit,SPY_382P_20221223,2.9450000000000003,3.87,2,184.99999999999997
2022-12-16,early_exit,SPY_383P_20221223,3.035,4.1,2,212.9999999999999
2022-12-16,early_exit,SPY_384P_20221223,3.225,4.595000000000001,2,274.0000000000001
2022-12-16,early_exit,SPY_385P_20221223,3.415,5.135,2,343.99999999999994
2022-12-16,early_exit,SPY_386P_20221223,3.625,5.765,2,427.99999999999994
2022-12-16,early_exit,SPY_388P_20221230,3.025,8.165,2,1027.9999999999998
2022-12-16,early_exit,SPY_389P_20221230,3.215,8.795,2,1116.0
2022-12-16,early_exit,SPY_390P_20221230,3.41,9.455,2,1209.0
2022-12-16,early_exit,SPY_391P_20221230,3.62,10.045,2,1285.0
2022-12-16,early_exit,SPY_376P_20230106,4.045,4.23,2,37.0000000000001
2022-12-16,early_exit,SPY_377P_20230106,4.28,4.55,2,53.999999999999915
2022-12-19,early_exit,SPY_374P_20230106,3.6,4.085,2,96.99999999999997
2022-12-19,early_exit,SPY_375P_20230106,3.815,4.42,2,121.0
2022-12-19,early_exit,SPY_380P_20230113,2.87,8.16,2,1058.0
2023-01-06,early_exit,SPY_389C_20230127,4.475,6.965,2,498.00000000000006
2023-01-06,early_exit,SPY_388C_20230127,4.935,7.51,4,1030.0
2023-01-06,early_exit,SPY_387C_20230127,5.225,8.07,2,569.0000000000001
2023-01-09,early_exit,SPY_391C_20230127,3.8,5.8100000000000005,2,402.0000000000001
2023-01-09,early_exit,SPY_390C_20230127,4.125,6.305,2,435.99999999999994
2023-01-10,early_exit,SPY_395C_20230127,2.665,4.6899999999999995,2,404.9999999999999
2023-01-10,early_exit,SPY_394C_20230127,2.92,5.15,2,446.0000000000001
2023-01-10,early_exit,SPY_393C_20230127,3.2,5.635,2,486.99999999999994
2023-01-10,early_exit,SPY_392C_20230127,3.415,5.88,4,986.0
2023-02-24,early_exit,SPY_392P_20230303,2.1550000000000002,1.98,4,-70.00000000000011
2023-02-24,early_exit,SPY_393P_20230303,2.255,2.29,2,7.000000000000028
