date,event,position_key,entry_price,exit_price,quantity,pnl
2020-08-10,early_exit,SPY_344C_20200904,1.705,2.065,-4,-143.99999999999994
2020-09-10,early_exit,SPY_331P_20200925,3.2,6.245,1,304.5
2020-10-12,early_exit,SPY_352C_20201016,2.215,3.525,-4,-524.0
2020-10-12,early_exit,SPY_351C_20201016,2.475,4.1850000000000005,-4,-684.0000000000001
2020-10-12,early_exit,SPY_349C_20201030,2.39,8.46,-4,-2428.0
2020-10-12,early_exit,SPY_348C_20201030,2.65,9.17,-4,-2608.0
2020-10-12,early_exit,SPY_347C_20201030,2.935,9.885000000000002,-4,-2780.0000000000005
2020-10-20,early_exit,SPY_356C_20201104,2.4850000000000003,1.9949999999999999,-2,98.00000000000009
2020-10-26,early_exit,SPY_351C_20201030,1.94,0.33999999999999997,-4,640.0
2020-10-26,early_exit,SPY_350C_20201030,2.15,0.445,-4,681.9999999999999
2020-10-26,early_exit,SPY_365C_20201113,1.9249999999999998,0.64,-4,513.9999999999999
2020-10-26,early_exit,SPY_364C_20201113,2.16,0.74,-4,568.0000000000001
2020-10-26,early_exit,SPY_363C_20201113,2.425,0.86,-4,626.0
2020-10-26,early_exit,SPY_362C_20201113,2.565,0.9199999999999999,-3,493.50000000000006
2020-12-14,early_exit,SPY_374C_20201218,1.29,0.29000000000000004,-4,400.0
2020-12-14,early_exit,SPY_373C_20201218,1.45,0.375,-4,430.0
2020-12-14,early_exit,SPY_372C_20201218,1.635,0.495,-2,228.00000000000003
2020-12-18,early_exit,SPY_385C_20210108,0.8300000000000001,0.685,-4,58.00000000000001
2020-12-18,early_exit,SPY_384C_20210108,0.96,0.815,-4,58.00000000000001
2020-12-18,early_exit,SPY_383C_20210108,1.105,0.975,-4,52.0
2020-12-18,early_exit,SPY_382C_20210108,1.1949999999999998,1.065,-4,51.99999999999996
2020-12-18,early_exit,SPY_388C_20210115,0.84,0.77,-4,27.99999999999998
