date,event,pnl,num_expired
2021-08-20,expiry,549.5,11
2021-08-23,expiry,-64.0,4
2021-08-25,expiry,28.0,5
2021-08-27,expiry,305.0,9
2021-08-30,expiry,11.500000000000004,3
2021-09-01,expiry,133.0,5
2021-09-03,expiry,49.5,2
2021-09-07,expiry,-129.00000000000003,5
2021-09-08,expiry,-4.5,3
2021-09-10,expiry,74.50000000000001,3
2021-09-13,expiry,66.0,9
2021-09-15,expiry,311.5,7
2021-09-17,expiry,403.0,13
2021-09-20,expiry,2.0,9
2021-09-22,expiry,788.5,11
2021-09-24,expiry,388.0,8
2021-09-27,expiry,174.0,6
2021-09-29,expiry,130.5,5
2021-09-30,expiry,168.0,4
2021-10-01,expiry,254.0,7
2021-10-04,expiry,60.0,2
2021-10-06,expiry,210.0,8
2021-10-08,expiry,405.5,9
2021-10-13,expiry,216.5,5
2021-10-15,expiry,303.0,9
2021-10-18,expiry,-55.5,4
2021-10-20,expiry,-29.5,5
2021-10-22,expiry,95.0,3
2021-10-25,expiry,-146.00244140625,5
2021-11-01,expiry,-67.5,3
2021-11-03,expiry,-21.000000000000004,1
2021-11-08,expiry,97.99853515625,3
2021-11-10,expiry,-21.000000000000004,1
2021-11-12,expiry,-44.0,2
2021-11-15,expiry,-172.5,4
2021-11-17,expiry,-42.00000000000001,1
2021-11-19,expiry,-65.0,3
2021-11-22,expiry,-28.0,5
2021-11-24,expiry,120.0,6
2021-11-26,expiry,2.0,4
2021-11-29,expiry,-153.5,7
2021-12-01,expiry,243.0,6
2021-12-03,expiry,2066.5,9
2021-12-06,expiry,875.0,6
2021-12-08,expiry,752.5,9
2021-12-10,expiry,1288.0,3
2021-12-13,expiry,14.499999999999998,2
2021-12-15,expiry,63.0,1
2021-12-17,expiry,460.5,6
2021-12-20,expiry,-44.0,2
2021-12-22,expiry,72.0,2
2021-12-23,expiry,169.0,6
2021-12-27,expiry,-317.498046875,9
2021-12-29,expiry,-39.5,2
2021-12-31,expiry,-10.500000000000002,1
2022-01-03,expiry,-79.5,3
2022-01-05,expiry,-33.5,2
2022-01-07,expiry,14.499999999999996,3
2022-01-10,expiry,-205.5,5
2022-01-12,expiry,-44.0,3
2022-01-14,expiry,89.5,7
2022-01-18,expiry,-107.5,5
2022-01-19,expiry,-21.000000000000004,3
2022-01-21,expiry,-1350.99560546875,12
2022-01-24,expiry,125.0,5
2022-01-26,expiry,1444.5,10
2022-01-28,expiry,2259.5,11
2022-01-31,expiry,337.0,7
2022-02-02,expiry,624.0,8
2022-02-04,expiry,1142.5,13
