date,event,pnl,num_expired
2022-01-10,expiry,-191.0,5
2022-01-12,expiry,-25.999999999999996,5
2022-01-14,expiry,193.5,10
2022-01-18,expiry,-84.5,4
2022-01-19,expiry,46.0,3
2022-01-21,expiry,-3776.4912109375,12
2022-01-24,expiry,30.000000000000007,5
2022-01-26,expiry,1476.5,9
2022-01-28,expiry,3090.5,11
2022-01-31,expiry,397.0,5
2022-02-02,expiry,868.0,9
2022-02-04,expiry,1261.5,13
2022-02-07,expiry,-103.5,4
2022-02-09,expiry,49.0,1
2022-02-11,expiry,45.00000000000001,3
2022-02-14,expiry,-321.0,8
2022-02-16,expiry,136.0,11
2022-02-18,expiry,188.5,12
2022-02-22,expiry,-155.0,5
2022-02-23,expiry,167.0,5
2022-02-25,expiry,1022.0,10
2022-02-28,expiry,194.0,4
2022-03-02,expiry,1667.5,10
2022-03-04,expiry,1619.0,10
2022-03-07,expiry,95.0,2
2022-03-09,expiry,499.0,6
2022-03-11,expiry,1951.5,8
2022-03-14,expiry,-349.0,5
2022-03-21,expiry,22.505859375,7
2022-03-23,expiry,-259.5,5
2022-03-25,expiry,11.5,1
2022-03-28,expiry,-158.0,6
2022-03-30,expiry,-81.0,3
2022-03-31,expiry,-48.0,2
2022-04-01,expiry,62.0,2
2022-04-04,expiry,-69.0,3
2022-04-06,expiry,-10.500000000000002,1
2022-04-08,expiry,21.000000000000004,3
2022-04-11,expiry,-139.5,6
2022-04-13,expiry,109.0,5
2022-04-14,expiry,25.0,1
2022-04-18,expiry,-46.0,2
2022-04-20,expiry,-1.5,3
2022-04-22,expiry,-1025.498291015625,5
2022-04-25,expiry,-38.99999999999999,8
2022-04-27,expiry,92.0,4
2022-04-29,expiry,83.0,3
2022-05-02,expiry,-273.0,10
2022-05-04,expiry,10.500000000000002,2
2022-05-06,expiry,44.0,4
2022-05-09,expiry,-1065.0,11
2022-05-11,expiry,-202.0,3
2022-05-16,expiry,-1790.0,10
2022-05-18,expiry,-374.0,1
2022-05-20,expiry,8.5,5
2022-05-23,expiry,-870.0,12
2022-05-25,expiry,-187.0,4
2022-05-27,expiry,16.0009765625,4
2022-05-31,expiry,-278.0,5
2022-06-01,expiry,-249.5,5
2022-06-03,expiry,-36.5,3
2022-06-06,expiry,-466.0,13
2022-06-08,expiry,-143.0,3
2022-06-10,expiry,-2559.0048828125,5
2022-06-13,expiry,-431.0,11
2022-06-15,expiry,1625.0,9
2022-06-17,expiry,416.49121093750006,9
2022-06-21,expiry,-1015.499267578125,13
2022-06-22,expiry,-62.0,1
2022-06-24,expiry,-116.002685546875,4
2022-06-27,expiry,-784.0003662109375,6
2022-06-30,expiry,46.0,2
2022-07-01,expiry,25.0,1
2022-07-05,expiry,-1080.5,13
