date,event,pnl,num_expired
2021-12-08,expiry,752.5,9
2021-12-10,expiry,1882.5,9
2021-12-13,expiry,50.0,2
2021-12-15,expiry,99.5,3
2021-12-17,expiry,563.5,8
2021-12-20,expiry,-10.500000000000002,1
2021-12-22,expiry,95.5,3
2021-12-23,expiry,187.0,7
2021-12-27,expiry,-222.0,5
2021-12-29,expiry,-39.5,2
2021-12-31,expiry,355.0,11
2022-01-03,expiry,-31.0,1
2022-01-05,expiry,132.5,2
2022-01-07,expiry,307.0,5
2022-01-10,expiry,46.0,1
2022-01-12,expiry,128.0,4
2022-01-14,expiry,133.5,5
2022-01-18,expiry,-27.0,1
2022-01-19,expiry,-50.00000000000001,2
2022-01-21,expiry,132.50000000000003,7
2022-01-24,expiry,-95.5,5
2022-01-26,expiry,1205.0,11
2022-01-28,expiry,1923.0,10
2022-01-31,expiry,42.5,5
2022-02-02,expiry,817.5,10
2022-02-04,expiry,1455.5,15
2022-02-09,expiry,367.5,7
2022-02-11,expiry,-269.5059814453125,13
2022-02-14,expiry,276.5,7
2022-02-16,expiry,854.0,11
2022-02-18,expiry,531.0,14
2022-02-22,expiry,54.5,3
2022-02-23,expiry,366.0,7
2022-02-25,expiry,1134.5,14
2022-02-28,expiry,-103.5,2
2022-03-02,expiry,1097.0,11
2022-03-04,expiry,898.0,13
2022-03-07,expiry,285.0,5
2022-03-09,expiry,1338.5,9
2022-03-11,expiry,2108.5,9
2022-03-14,expiry,239.0,5
2022-03-16,expiry,1403.5,12
2022-03-18,expiry,1536.5,11
2022-03-21,expiry,-10.0,4
2022-03-23,expiry,377.0,6
2022-03-25,expiry,982.5,9
2022-03-28,expiry,-52.0,2
2022-03-30,expiry,89.0,3
2022-03-31,expiry,221.5,6
2022-04-01,expiry,357.5,9
2022-04-04,expiry,-143.5,4
2022-04-06,expiry,-29.000000000000004,1
2022-04-08,expiry,127.5,6
2022-04-11,expiry,-65.0,3
2022-04-13,expiry,96.5,4
2022-04-14,expiry,141.0,6
2022-04-18,expiry,-136.0,4
2022-04-20,expiry,-50.5,7
2022-04-22,expiry,-2493.9940185546875,10
2022-04-25,expiry,212.0,10
2022-04-27,expiry,-679.002197265625,9
2022-04-29,expiry,312.5,3
2022-05-02,expiry,-251.0,11
2022-05-04,expiry,906.0,14
2022-05-06,expiry,-2381.0040283203125,10
2022-05-09,expiry,-688.0,7
2022-05-11,expiry,696.0,11
2022-05-13,expiry,892.5,12
2022-05-16,expiry,-470.5,7
2022-05-18,expiry,-1157.005859375,9
2022-05-20,expiry,641.0,10
2022-05-23,expiry,-528.5,9
2022-05-25,expiry,-110.5,3
2022-05-27,expiry,40.5,2
2022-05-31,expiry,-248.500732421875,5
2022-06-01,expiry,-422.0,6
2022-06-03,expiry,-387.5,3
2022-06-06,expiry,-741.5,12
2022-06-08,expiry,-314.5,5
2022-06-10,expiry,-1185.50244140625,6
2022-06-13,expiry,-563.5,12
2022-06-15,expiry,1772.0,9
2022-06-17,expiry,880.0,7
2022-06-21,expiry,-1122.0,13
2022-06-22,expiry,-86.5,2
2022-06-24,expiry,-116.002685546875,4
2022-06-27,expiry,-703.000732421875,6
2022-06-30,expiry,146.0,6
2022-07-01,expiry,204.0,5
2022-07-05,expiry,-630.5,8
