date,historical_equity,vol_surface_equity
2023-09-26,103873.27033105266,100112.22465369821
2023-09-27,103874.60893023106,100123.06448501295
2023-09-28,103833.80918328428,100078.67643207451
2023-09-29,103922.91334822585,99961.79387456484
2023-10-02,103930.25925396114,99962.67242053489
2023-10-03,103838.7264612282,100153.37135378484
2023-10-04,103787.93472329239,100181.89605092327
2023-10-05,103784.07028710771,100185.19553212353
2023-10-06,103703.22101564315,100370.15283952966
2023-10-09,103745.24906496027,100295.37152508175
2023-10-10,103708.38968766163,100373.00170523411
2023-10-11,103735.09946448034,100333.62483737705
2023-10-12,103775.6863621577,100259.03925413855
2023-10-13,103871.24242204563,100487.76996500103
2023-10-16,103798.25893506133,100662.85243503973
2023-10-17,103796.56734030925,100660.4916482024
2023-10-18,103886.8487007724,100482.17057106343
2023-10-19,103825.85900801151,100590.57656407231
2023-10-20,104066.6783333119,100434.68970786783
2023-10-23,104059.33294486572,100454.2437856782
2023-10-24,104007.99699122147,100552.24585918637
2023-10-25,103910.24354546399,100738.55405126068
2023-10-26,103987.80486257412,100577.42992041484
2023-10-27,104023.0026300284,100694.87757884101
2023-10-30,103944.24788282487,100857.99313313523
2023-10-31,103984.11159187127,100789.97150387111
2023-11-01,103912.4323979489,100975.74370049835
2023-11-02,104038.88251344899,101062.28843627118
2023-11-03,104011.52481901762,101391.72304955483
2023-11-06,104025.9290583156,101397.57024087333
2023-11-07,104004.99261294292,101505.84222766699
2023-11-08,104008.66238919344,101506.99350285366
2023-11-09,104061.07817043984,101358.7455249041
2023-11-10,104225.51100497905,100841.72872651358
2023-11-13,104230.74635984728,100824.74265339776
2023-11-14,104364.0825358831,101237.27636796387
2023-11-15,104347.68005153997,101275.4573930939
2023-11-16,104354.93819516731,101317.06941553595
2023-11-17,104533.650798926,101357.34452376302
2023-11-20,104588.85443677152,101714.6889417174
2023-11-21,104603.68934891191,101671.91152650023
2023-11-22,104630.90913614565,101868.04527124783
2023-11-24,104693.80706886105,100719.18160071784
2023-11-27,104678.83696567547,100630.92067299027
2023-11-28,104669.94308085786,100599.51427155419
2023-11-29,104663.18807856114,100562.78033656995
2023-11-30,104632.26895341072,100487.08769449925
2023-12-01,104700.14984742677,101168.6580918224
2023-12-04,104738.25489514819,101375.6812452256
2023-12-05,104735.27424289253,101352.14152217071
2023-12-06,104764.01801819814,101532.57180968393
2023-12-07,104819.56087286901,102073.53033803332
2023-12-08,104796.67269780258,101960.8513259645
2023-12-11,104824.582429378,102239.00870192092
2023-12-12,104788.38041311185,102101.45445401907
2023-12-13,104892.05412101756,104277.304049082
2023-12-14,104865.6866844997,104233.01210177608
2023-12-15,104978.08223086796,103309.52594600007
2023-12-18,104933.14666034924,103338.70599228336
2023-12-19,104978.7679539196,103681.31504774498
2023-12-20,105085.35984184543,104429.10330474647
2023-12-21,105156.79919090211,105193.18812784618
2023-12-22,105150.6307735167,105090.2984057753
2023-12-25,105149.07373150309,105076.43201550386
2023-12-26,105114.64342807281,104871.51765908377
2023-12-27,105127.21557465858,105015.77480838221
2023-12-28,105122.6906577043,104986.57743940031
2023-12-29,105232.42450581733,104818.10589260166
2024-01-01,105230.88765347339,104806.8444297844
2024-01-02,105186.93641256819,104488.7830930091
2024-01-03,105250.03048522444,104797.87927565761
2024-01-04,105224.84454122886,104610.66205849814
2024-01-05,105212.81621322797,104568.02777012964
2024-01-08,105320.89469324813,105340.04998037848
2024-01-09,105331.17772480476,105391.24637344191
2024-01-10,105373.67839096626,105709.73687074045
2024-01-11,105375.56460401864,105718.21083099335
2024-01-12,105501.34169722964,105900.42075584485
2024-01-15,105499.8924108147,105887.76222760558
2024-01-16,105473.22543214014,105663.9420485422
2024-01-17,105515.15489485559,105942.47062557258
2024-01-18,105579.84521025987,106494.57762872518
2024-01-19,105531.0250590868,106184.2067534726
2024-01-22,105545.65305280585,106311.52690222833
2024-01-23,105521.76331436296,106264.38148242855
2024-01-24,105528.6260835047,106330.31693516919
2024-01-25,105485.24413120867,106455.21041947982
2024-01-26,105742.37020218043,106242.62331677927
2024-01-29,105678.71469086318,106650.22314628854
2024-01-30,105671.14371289789,106638.32835269782
2024-01-31,105808.48323117537,106745.55051505301
2024-02-01,105907.06922366889,107439.19444982921
2024-02-02,105823.93734709772,106426.97118618578
2024-02-05,105793.8567634405,106260.32887974693
2024-02-06,105769.64302451443,106170.2708463395
2024-02-07,105833.34348295517,106734.80307065928
2024-02-08,105828.28031202675,106714.70584865374
2024-02-09,106007.32413691649,106417.87654726992
2024-02-12,106009.2212935419,106423.89226840736
2024-02-13,105898.32968159523,106055.98487722728
2024-02-14,105825.63718424125,105822.16808111
2024-02-15,105878.55122800643,106004.16276374023
2024-02-16,105940.56364393112,106148.04899991048
2024-02-19,105938.9810803296,106142.73427749502
2024-02-20,105980.96170684509,106284.26346648767
2024-02-21,105986.51608784044,106303.10025350009
2024-02-22,105821.93513903132,105813.93640280851
2024-02-23,105937.87176392126,105827.49116370805
2024-02-26,105965.72758445857,105917.91612061506
2024-02-27,105979.015218909,105962.80883871186
2024-02-28,105988.02245295582,105992.52398259354
2024-02-29,106015.24904572524,106085.88560672867
2024-03-01,105971.07717655078,105943.2022806174
2024-03-04,105960.7399049252,105911.38809681042
2024-03-05,106040.22347614238,106160.27179106338
2024-03-06,106079.32850681811,106282.45019084107
2024-03-07,105997.55727520525,106032.63541140991
2024-03-08,105968.97711475726,105955.51651082226
2024-03-11,105977.82601578439,105971.6795648301
2024-03-12,106063.33301973563,106231.00994784277
2024-03-13,106083.0280077396,106264.87712766818
2024-03-14,106065.23597065039,106211.0007656214
2024-03-15,106206.21162851145,106786.25413488237
2024-03-18,106252.59511040157,106923.48127856251
2024-03-19,106205.82231795897,106671.83851968442
2024-03-20,106279.7501788053,106830.49363681735
2024-03-21,106250.85385053421,106668.99590077388
2024-03-22,106274.51678866323,106648.59250579741
2024-03-25,106295.67680468083,106748.82426274286
2024-03-26,106278.82217410294,106694.16519125245
2024-03-27,106208.11116722625,106331.88703978546
2024-03-28,106204.86991084261,106318.44170940117
2024-03-29,106290.21270196236,107209.72574311878
2024-04-01,106274.13948026474,107142.80743322699
2024-04-02,106325.07701363762,107371.64815894328
2024-04-03,106332.4618265809,107400.67432742534
2024-04-04,106431.24874583211,107825.5423658553
2024-04-05,106527.53170535999,108167.4995050419
2024-04-08,106521.29560314147,108142.19655789019
2024-04-09,106529.15746337884,108173.95589411075
2024-04-10,106609.88645827334,108500.04907469128
2024-04-11,106669.72145599741,108742.52329154918
2024-04-12,106858.34464158406,109369.84637514027
2024-04-15,106754.84270071686,108977.20933846032
2024-04-16,106767.81858135332,109030.5300247359
2024-04-17,106719.01639275557,108845.5896676548
2024-04-18,106733.74692720787,108905.54527925284
2024-04-19,106757.09702261235,108667.08927488766
2024-04-22,106683.29250234527,108396.81063284528
2024-04-23,106775.64734580627,108758.37767594519
2024-04-24,106777.84705562604,108766.31999822741
2024-04-25,106745.83052157908,108643.54774893979
2024-04-26,106764.17261432501,108551.15935606329
2024-04-29,106791.07625542945,108680.70646360691
2024-04-30,106917.4567783228,109236.34285486111
2024-05-01,106960.54518831798,109118.30410535971
2024-05-02,106884.82336024809,108772.8941695413
2024-05-03,107019.38924080835,109179.63893211723
2024-05-06,106934.12794876276,108765.86714023119
2024-05-07,106941.52092113589,108796.05311574246
2024-05-08,106939.09063408145,108785.09579161613
2024-05-09,106984.6584576631,108973.9835645002
2024-05-10,107004.89615057598,108897.75827039778
2024-05-13,107004.35403824886,108895.19372943827
2024-05-14,106964.84302324553,108715.03404926456
2024-05-15,107065.8365816522,109144.63349238124
2024-05-16,107081.42542393989,109224.63334369817
2024-05-17,107152.7830990854,109283.30656503777
2024-05-20,107141.50171615723,109228.98656284541
2024-05-21,107160.2851125296,109305.00273377329
2024-05-22,107182.73118597093,109454.01490220217
2024-05-23,107120.27634234515,109141.24164186176
2024-05-24,107104.89293837274,108746.26625390335
2024-05-27,107103.22798780778,108736.38947625637
2024-05-28,107095.74528779145,108687.4356848299
2024-05-29,107035.76957615207,108347.52494962711
2024-05-30,107089.01208628305,108684.77361668798
