date,underlying_price,day_type,historical_iv,vol_surface_iv
2023-05-17,415.2300109863281,option_trading,0.12241786870345954,0.1401288764411281
2023-05-19,418.6199951171875,option_trading,0.12941254447106082,0.0896051529480158
2023-05-22,418.7900085449219,option_trading,0.1295864571777835,0.15366707471382743
2023-05-24,411.0899963378906,option_trading,0.1336775614741119,0.15214491413487452
2023-05-26,420.0199890136719,option_trading,0.13210637252774857,0.17147478783503964
2023-05-29,420.0199890136719,option_trading,0.13700184988047398,0.1527200658914028
2023-06-02,427.9200134277344,option_trading,0.1395342222265804,0.08870390505749186
2023-06-07,426.54998779296875,option_trading,0.13563786102972772,0.14467235276694423
2023-06-09,429.8999938964844,option_trading,0.12467317051568838,0.1683797584070099
2023-06-12,433.79998779296875,option_trading,0.12277500662400663,0.17697925345309537
2023-06-14,437.17999267578125,option_trading,0.11926081172275424,0.15679510311911618
2023-06-16,439.4599914550781,option_trading,0.11595293964818376,0.17962885768349285
2023-06-19,439.4599914550781,option_trading,0.10986286771044985,0.12334023783068769
2023-06-21,434.94000244140625,option_trading,0.11188055471843807,0.12367291132439484
2023-06-23,433.2099914550781,option_trading,0.11209577675417742,0.1155527131981211
2023-06-26,431.44000244140625,option_trading,0.1150993370438314,0.11803181652480017
2023-06-28,436.3900146484375,option_trading,0.11914237714411018,0.12224189116526699
2023-06-30,443.2799987792969,option_trading,0.11248355342601948,0.06001411243205593
2023-07-05,443.1300048828125,option_trading,0.11354150662936977,0.058766280417647226
2023-07-07,438.54998779296875,option_trading,0.11074175758026315,0.07058816300666117
2023-07-10,439.6600036621094,option_trading,0.1079908898586496,0.12817267637284027
2023-07-12,446.0199890136719,option_trading,0.10188145082626707,0.13288038202088026
2023-07-14,449.2799987792969,option_trading,0.10208292758836258,0.06075740283142069
2023-07-17,450.8399963378906,option_trading,0.10022837586608518,0.14220186225966094
2023-07-19,455.20001220703125,option_trading,0.09391185810424998,0.23209094082583173
2023-07-21,452.17999267578125,option_trading,0.09606830692798067,0.07832484039180948
2023-07-24,454.20001220703125,option_trading,0.09544083627451569,0.08117809137335646
2023-07-26,455.510009765625,option_trading,0.09330491813307934,0.12115673359115252
2023-07-28,456.9200134277344,option_trading,0.09523991998486656,0.05983683149011134
2023-07-31,457.7900085449219,option_trading,0.09279866725929152,0.1129073182367839
2023-08-02,450.1300048828125,option_trading,0.08805575399774683,0.06071117189111229
2023-08-04,446.80999755859375,option_trading,0.09786787172015624,0.08510114921319663
2023-08-07,450.7099914550781,option_trading,0.09585941293478287,0.1464718221282735
2023-08-09,445.75,option_trading,0.09415133498072037,0.1353943330097039
2023-08-11,445.6499938964844,option_trading,0.0963497895251405,0.09001975911443155
2023-08-14,448.1099853515625,option_trading,0.09019693301008033,0.1300266926207401
2023-08-16,439.6400146484375,option_trading,0.09808545217819274,0.06899349594123926
