date,historical_equity,GARCH_equity,XGB_equity
2020-11-25,439705.5004630353,516789.5596292449,467138.95729129884
2020-11-27,438694.62218886777,516965.2279145662,467408.7421164052
2020-11-30,439033.61959171353,517228.7838625425,467673.3218843522
2020-12-01,438218.8792219679,517212.2754650857,467651.183151317
2020-12-02,437752.7518115087,517281.36562150065,467730.44413684885
2020-12-03,437694.0589835456,517306.7297847007,467693.6082495502
2020-12-04,436284.0755246568,517721.91526846046,467597.9033889923
2020-12-07,436262.6084120165,517908.30848223285,467464.92694995075
2020-12-08,435790.6386373085,517988.36646301264,467257.7960476689
2020-12-09,436970.1670995802,517958.9696829564,468220.51628813177
2020-12-10,436970.3807654688,517967.2938412001,467817.07376422785
2020-12-11,437139.0034194917,518211.28083568095,467878.68861973856
2020-12-14,437324.7195920524,518270.32140511,468106.41609768465
2020-12-15,437008.11125331215,518369.9764369618,467649.43654761044
2020-12-16,437469.24878362904,518855.93157463666,467748.9954820788
2020-12-17,437266.1156374745,518906.936060112,467376.2475716494
2020-12-18,437914.57789839397,519357.26134365617,468388.5354789595
2020-12-21,437871.26166048757,519270.80652068125,468438.4351931048
2020-12-22,437964.4417354788,519332.8075971423,468413.4195587747
2020-12-23,438261.6077792209,519672.09827778727,468566.2495610371
2020-12-24,438540.1314731069,520007.08276171994,468657.6327894487
2020-12-28,438578.71946371574,520054.1898606022,468254.7321730997
2020-12-29,438571.2961973161,520062.18885276496,468304.7517625483
2020-12-30,438649.66489488917,520150.02711997915,468304.64948222495
2020-12-31,438927.96827802877,520637.06801801955,468520.01126891695
2021-01-04,439591.96839163336,520346.0913662451,468514.5748998086
2021-01-05,440069.2452126309,521133.55120298406,469189.4465142889
2021-01-06,440855.36712989846,521848.29537704657,469840.90329742926
2021-01-07,440839.1880192257,521805.7798958798,469831.14156241214
2021-01-08,441485.10083910916,522506.4080201266,470494.03984054376
2021-01-11,441891.18724722276,522785.1580424358,470739.23357279075
2021-01-12,441973.66769819387,522884.98142763245,470819.58881752705
2021-01-13,442289.5048394496,523250.44766727084,471206.21893883246
2021-01-14,442314.10689612187,523249.72471701197,471220.55243538995
2021-01-15,442856.43242155877,523826.80149682297,471667.9522112786
2021-01-19,442883.6460757901,523972.2758408877,471930.7554534041
2021-01-20,443138.53307270946,524309.6862442705,472241.08908556384
2021-01-21,443167.32587125635,524323.7628488252,472247.2941228281
2021-01-22,443659.37040950014,524821.9562076882,472777.8920027274
2021-01-25,443645.6758655957,524905.9525904089,472843.93186862936
2021-01-26,443762.33914975805,525015.1788322503,472939.45376837463
2021-01-27,441069.14371934114,520849.58048115857,469239.5396789091
2021-01-28,442834.61487295525,524325.5457460338,472000.75241891795
2021-01-29,447309.69611037034,528070.0329520885,476481.81935833255
2021-02-01,448518.0311597903,528657.0871830584,477387.9573028828
2021-02-02,448503.1725848576,528597.5966852851,477298.1698067803
2021-02-03,449711.87542533,529719.5448488742,478509.80806853296
2021-02-04,449659.8782244205,528743.9522045641,478377.15602891677
2021-02-05,450138.25129601173,528168.230464097,478808.672344978
