date,event,position_key,entry_price,exit_price,quantity,pnl,num_expired
2021-10-01,expiry,Daily Expiry PnL,,,,649.0000000000001,2.0
2021-10-08,expiry,SPY_429P_20211008,2.76,0.0,-4.0,1104.0,
2021-10-08,expiry,SPY_473C_20211008,0.135,0.0,4.0,-54.0,
2021-10-08,expiry,Daily Expiry PnL,,,,1050.0,2.0
2021-10-13,expiry,SPY_425P_20211013,3.145,0.0,-4.0,1258.0,
2021-10-13,expiry,SPY_426P_20211013,3.255,0.0,-4.0,1302.0,
2021-10-13,expiry,Daily Expiry PnL,,,,2560.0,2.0
2021-10-15,expiry,SPY_426P_20211015,2.84,0.0,-4.0,1136.0,
2021-10-15,expiry,SPY_427P_20211015,2.955,0.0,-4.0,1182.0,
2021-10-15,expiry,Daily Expiry PnL,,,,2318.0,2.0
2021-10-20,expiry,SPY_414P_20211020,5.28,0.0,-4.0,2112.0,
2021-10-20,expiry,SPY_415P_20211020,5.46,0.0,-4.0,2184.0,
2021-10-20,expiry,Daily Expiry PnL,,,,4296.0,2.0
2021-10-22,expiry,SPY_416P_20211022,3.415,0.0,-2.0,683.0,
2021-10-22,expiry,SPY_459C_20211022,0.48,0.0,4.0,-192.0,
2021-10-22,expiry,SPY_458C_20211022,0.5700000000000001,0.0,2.0,-114.00000000000001,
2021-10-22,expiry,Daily Expiry PnL,,,,377.0,3.0
2021-10-27,expiry,SPY_422P_20211027,2.99,0.0,-1.0,299.0,
2021-10-27,expiry,SPY_463C_20211027,0.33499999999999996,0.0,4.0,-134.0,
2021-10-27,expiry,Daily Expiry PnL,,,,165.0,2.0
2021-11-03,expiry,SPY_408P_20211103,4.23,0.0,-4.0,1692.0000000000002,
2021-11-03,expiry,Daily Expiry PnL,,,,1692.0000000000002,1.0
2021-11-10,expiry,SPY_414P_20211110,3.435,0.0,-4.0,1374.0,
2021-11-10,expiry,Daily Expiry PnL,,,,1374.0,1.0
2021-11-12,expiry,SPY_414P_20211112,2.9450000000000003,0.0,-4.0,1178.0,
2021-11-12,expiry,SPY_415P_20211112,3.085,0.0,-4.0,1234.0,
2021-11-12,expiry,SPY_416P_20211112,3.2350000000000003,0.0,-1.0,323.50000000000006,
2021-11-12,expiry,Daily Expiry PnL,,,,2735.5,3.0
2021-11-17,expiry,SPY_425P_20211117,2.1550000000000002,0.0,-4.0,862.0000000000001,
2021-11-17,expiry,SPY_426P_20211117,2.245,0.0,-4.0,898.0,
2021-11-17,expiry,Daily Expiry PnL,,,,1760.0,2.0
2021-11-19,expiry,SPY_430P_20211119,2.0700000000000003,0.0,-4.0,828.0000000000001,
2021-11-19,expiry,SPY_431P_20211119,2.16,0.0,-3.0,648.0,
2021-11-19,expiry,Daily Expiry PnL,,,,1476.0,2.0
2021-11-24,expiry,SPY_433P_20211124,2.0,0.0,-2.0,400.0,
2021-11-24,expiry,SPY_474C_20211124,0.33,0.0,4.0,-132.0,
2021-11-24,expiry,SPY_473C_20211124,0.4,0.0,4.0,-160.0,
2021-11-24,expiry,SPY_472C_20211124,0.485,0.0,4.0,-194.0,
2021-11-24,expiry,SPY_471C_20211124,0.59,0.0,4.0,-236.0,
2021-11-24,expiry,Daily Expiry PnL,,,,-322.0,5.0
2021-11-26,expiry,SPY_432P_20211126,2.505,0.0,-1.0,250.5,
2021-11-26,expiry,SPY_476C_20211126,0.195,0.0,4.0,-78.0,
2021-11-26,expiry,SPY_475C_20211126,0.235,0.0,4.0,-94.0,
