date,event,position_key,entry_price,exit_price,quantity,pnl,num_expired
2021-10-08,expiry,SPY_473C_20211008,0.135,0.0,4.0,-54.0,
2021-10-08,expiry,SPY_472C_20211008,0.155,0.0,2.0,-31.0,
2021-10-08,expiry,Daily Expiry PnL,,,,-85.0,2.0
2021-10-22,expiry,SPY_459C_20211022,0.48,0.0,4.0,-192.0,
2021-10-22,expiry,SPY_458C_20211022,0.5700000000000001,0.0,4.0,-228.00000000000003,
2021-10-22,expiry,SPY_457C_20211022,0.67,0.0,4.0,-268.0,
2021-10-22,expiry,SPY_456C_20211022,0.795,0.0,4.0,-318.0,
2021-10-22,expiry,SPY_455C_20211022,0.95,0.0,2.0,-190.0,
2021-10-22,expiry,Daily Expiry PnL,,,,-1196.0,5.0
2021-10-27,expiry,SPY_463C_20211027,0.33499999999999996,0.0,4.0,-134.0,
2021-10-27,expiry,SPY_462C_20211027,0.4,0.0,4.0,-160.0,
2021-10-27,expiry,SPY_461C_20211027,0.47,0.0,4.0,-188.0,
2021-10-27,expiry,Daily Expiry PnL,,,,-482.0,3.0
2021-10-29,expiry,SPY_456C_20211029,0.59,3.25,4.0,1064.0,
2021-10-29,expiry,Daily Expiry PnL,,,,1064.0,1.0
2021-11-24,expiry,SPY_474C_20211124,0.33,0.0,4.0,-132.0,
2021-11-24,expiry,SPY_473C_20211124,0.4,0.0,1.0,-40.0,
2021-11-24,expiry,Daily Expiry PnL,,,,-172.0,2.0
2021-11-26,expiry,SPY_476C_20211126,0.195,0.0,4.0,-78.0,
2021-11-26,expiry,SPY_475C_20211126,0.235,0.0,4.0,-94.0,
2021-11-26,expiry,SPY_474C_20211126,0.29000000000000004,0.0,4.0,-116.00000000000001,
2021-11-26,expiry,SPY_473C_20211126,0.36000000000000004,0.0,3.0,-108.0,
2021-11-26,expiry,Daily Expiry PnL,,,,-396.0,4.0
2021-12-01,expiry,SPY_482C_20211201,0.2,0.0,4.0,-80.0,
2021-12-01,expiry,SPY_480C_20211201,0.28,0.0,4.0,-112.00000000000001,
2021-12-01,expiry,SPY_479C_20211201,0.33499999999999996,0.0,4.0,-134.0,
2021-12-01,expiry,SPY_478C_20211201,0.405,0.0,4.0,-162.0,
2021-12-01,expiry,Daily Expiry PnL,,,,-488.0,4.0
2021-12-29,expiry,SPY_486C_20211229,0.635,0.0,4.0,-254.0,
2021-12-29,expiry,SPY_485C_20211229,0.735,0.0,4.0,-294.0,
2021-12-29,expiry,SPY_484C_20211229,0.845,0.0,4.0,-338.0,
2021-12-29,expiry,SPY_482C_20211229,1.125,0.0,4.0,-450.0,
2021-12-29,expiry,Daily Expiry PnL,,,,-1336.0,4.0
2021-12-31,expiry,SPY_473C_20211231,1.5750000000000002,1.959991455078125,4.0,153.9965820312499,
2021-12-31,expiry,Daily Expiry PnL,,,,153.9965820312499,1.0
2022-01-19,expiry,SPY_476C_20220119,1.4249999999999998,0.0,4.0,-569.9999999999999,
2022-01-19,expiry,SPY_475C_20220119,1.625,0.0,4.0,-650.0,
2022-01-19,expiry,SPY_474C_20220119,1.845,0.0,4.0,-738.0,
2022-01-19,expiry,SPY_472C_20220119,2.385,0.0,1.0,-238.49999999999997,
2022-01-19,expiry,Daily Expiry PnL,,,,-2196.5,4.0
2022-02-02,expiry,SPY_500C_20220202,0.315,0.0,3.0,-94.5,
2022-02-02,expiry,Daily Expiry PnL,,,,-94.5,1.0
2022-02-04,expiry,SPY_491C_20220204,0.49,0.0,4.0,-196.0,
2022-02-04,expiry,SPY_490C_20220204,0.58,0.0,4.0,-231.99999999999997,
2022-02-04,expiry,SPY_489C_20220204,0.69,0.0,4.0,-276.0,
2022-02-04,expiry,Daily Expiry PnL,,,,-704.0,3.0
2022-02-09,expiry,SPY_487C_20220209,0.5449999999999999,0.0,4.0,-217.99999999999997,
2022-02-09,expiry,SPY_486C_20220209,0.635,0.0,4.0,-254.0,
2022-02-09,expiry,Daily Expiry PnL,,,,-472.0,2.0
2022-02-18,expiry,SPY_474C_20220218,1.44,0.0,4.0,-576.0,
2022-02-18,expiry,SPY_473C_20220218,1.645,0.0,4.0,-658.0,
2022-02-18,expiry,Daily Expiry PnL,,,,-1234.0,2.0
2022-03-02,expiry,SPY_472C_20220302,1.545,0.0,4.0,-618.0,
2022-03-02,expiry,SPY_470C_20220302,1.885,0.0,4.0,-754.0,
2022-03-02,expiry,SPY_468C_20220302,2.29,0.0,4.0,-916.0,
2022-03-02,expiry,SPY_466C_20220302,2.77,0.0,4.0,-1108.0,
2022-03-02,expiry,Daily Expiry PnL,,,,-3396.0,4.0
2022-03-04,expiry,SPY_480C_20220304,0.69,0.0,4.0,-276.0,
2022-03-04,expiry,Daily Expiry PnL,,,,-276.0,1.0
2022-03-09,expiry,SPY_468C_20220309,1.6600000000000001,0.0,4.0,-664.0,
2022-03-09,expiry,SPY_466C_20220309,2.09,0.0,4.0,-836.0,
2022-03-09,expiry,SPY_465C_20220309,2.335,0.0,4.0,-934.0,
2022-03-09,expiry,SPY_464C_20220309,2.605,0.0,2.0,-521.0,
2022-03-09,expiry,Daily Expiry PnL,,,,-2955.0,4.0
2022-03-16,expiry,SPY_460C_20220316,2.5700000000000003,0.0,4.0,-1028.0,
2022-03-16,expiry,SPY_459C_20220316,2.84,0.0,4.0,-1136.0,
2022-03-16,expiry,SPY_458C_20220316,3.135,0.0,4.0,-1254.0,
2022-03-16,expiry,SPY_457C_20220316,3.4450000000000003,0.0,3.0,-1033.5,
2022-03-16,expiry,Daily Expiry PnL,,,,-4451.5,4.0
2022-03-30,expiry,SPY_458C_20220330,2.5250000000000004,0.70001220703125,4.0,-729.9951171875001,
2022-03-30,expiry,SPY_457C_20220330,2.7750000000000004,1.70001220703125,4.0,-429.9951171875002,
2022-03-30,expiry,SPY_456C_20220330,3.05,2.70001220703125,4.0,-139.9951171875,
2022-03-30,expiry,SPY_455C_20220330,3.34,3.70001220703125,2.0,72.00244140625,
2022-03-30,expiry,Daily Expiry PnL,,,,-1227.9829101562505,4.0
2022-04-01,expiry,SPY_459C_20220401,2.665,0.0,3.0,-799.5,
2022-04-01,expiry,Daily Expiry PnL,,,,-799.5,1.0
2022-04-27,expiry,SPY_478C_20220427,0.645,0.0,3.0,-193.5,
2022-04-27,expiry,Daily Expiry PnL,,,,-193.5,1.0
2022-04-29,expiry,SPY_480C_20220429,0.89,0.0,4.0,-356.0,
2022-04-29,expiry,SPY_478C_20220429,1.1549999999999998,0.0,4.0,-461.99999999999994,
2022-04-29,expiry,SPY_476C_20220429,1.495,0.0,4.0,-598.0,
2022-04-29,expiry,SPY_475C_20220429,1.6949999999999998,0.0,4.0,-677.9999999999999,
2022-04-29,expiry,SPY_474C_20220429,1.915,0.0,4.0,-766.0,
2022-04-29,expiry,Daily Expiry PnL,,,,-2860.0,5.0
2022-05-04,expiry,SPY_479C_20220504,0.535,0.0,4.0,-214.0,
2022-05-04,expiry,SPY_478C_20220504,0.62,0.0,4.0,-248.0,
2022-05-04,expiry,SPY_477C_20220504,0.72,0.0,1.0,-72.0,
2022-05-04,expiry,Daily Expiry PnL,,,,-534.0,3.0
2022-05-06,expiry,SPY_468C_20220506,0.915,0.0,4.0,-366.0,
2022-05-06,expiry,SPY_467C_20220506,1.07,0.0,4.0,-428.0,
2022-05-06,expiry,SPY_466C_20220506,1.245,0.0,4.0,-498.00000000000006,
2022-05-06,expiry,SPY_465C_20220506,1.44,0.0,2.0,-288.0,
2022-05-06,expiry,Daily Expiry PnL,,,,-1580.0,4.0
2022-05-11,expiry,SPY_460C_20220511,1.625,0.0,4.0,-650.0,
2022-05-11,expiry,SPY_458C_20220511,2.105,0.0,4.0,-842.0,
2022-05-11,expiry,SPY_456C_20220511,2.685,0.0,4.0,-1074.0,
2022-05-11,expiry,Daily Expiry PnL,,,,-2566.0,3.0
2022-05-18,expiry,SPY_459C_20220518,1.455,0.0,4.0,-582.0,
2022-05-18,expiry,SPY_458C_20220518,1.6600000000000001,0.0,4.0,-664.0,
2022-05-18,expiry,Daily Expiry PnL,,,,-1246.0,2.0
2022-05-25,expiry,SPY_449C_20220525,2.23,0.0,4.0,-892.0,
2022-05-25,expiry,Daily Expiry PnL,,,,-892.0,1.0
2022-06-01,expiry,SPY_435C_20220601,3.56,0.0,4.0,-1424.0,
2022-06-01,expiry,SPY_434C_20220601,3.86,0.0,4.0,-1544.0,
2022-06-01,expiry,SPY_432C_20220601,4.5,0.0,4.0,-1800.0,
2022-06-01,expiry,Daily Expiry PnL,,,,-4768.0,3.0
2022-06-03,expiry,SPY_450C_20220603,2.0300000000000002,0.0,4.0,-812.0000000000001,
2022-06-03,expiry,SPY_449C_20220603,2.255,0.0,2.0,-451.0,
2022-06-03,expiry,Daily Expiry PnL,,,,-1263.0,2.0
2022-06-08,expiry,SPY_418C_20220608,5.4350000000000005,0.0,4.0,-2174.0,
2022-06-08,expiry,Daily Expiry PnL,,,,-2174.0,1.0
2022-06-30,expiry,SPY_433C_20220630,2.76,0.0,4.0,-1104.0,
2022-06-30,expiry,SPY_432C_20220630,3.005,0.0,2.0,-601.0,
2022-06-30,expiry,Daily Expiry PnL,,,,-1705.0,2.0
2022-07-01,expiry,SPY_430C_20220701,2.54,0.0,3.0,-762.0,
2022-07-01,expiry,Daily Expiry PnL,,,,-762.0,1.0
2022-07-06,expiry,SPY_432C_20220706,2.19,0.0,4.0,-876.0,
2022-07-06,expiry,SPY_430C_20220706,2.64,0.0,4.0,-1056.0,
2022-07-06,expiry,SPY_428C_20220706,3.145,0.0,4.0,-1258.0,
2022-07-06,expiry,SPY_426C_20220706,3.7199999999999998,0.0,4.0,-1488.0,
2022-07-06,expiry,SPY_425C_20220706,4.035,0.0,1.0,-403.5,
2022-07-06,expiry,Daily Expiry PnL,,,,-5081.5,5.0
2022-07-08,expiry,SPY_431C_20220708,2.19,0.0,4.0,-876.0,
2022-07-08,expiry,SPY_430C_20220708,2.415,0.0,1.0,-241.5,
2022-07-08,expiry,Daily Expiry PnL,,,,-1117.5,2.0
2022-07-15,expiry,SPY_398C_20220715,3.605,0.0,4.0,-1442.0,
2022-07-15,expiry,SPY_397C_20220715,3.87,0.0,4.0,-1548.0,
2022-07-15,expiry,SPY_396C_20220715,4.145,0.0,4.0,-1657.9999999999998,
2022-07-15,expiry,SPY_395C_20220715,4.4350000000000005,0.0,4.0,-1774.0000000000002,
2022-07-15,expiry,SPY_394C_20220715,4.74,0.0,4.0,-1896.0,
2022-07-15,expiry,Daily Expiry PnL,,,,-8318.0,5.0
2022-07-22,expiry,SPY_393C_20220722,3.98,2.089996337890625,4.0,-756.00146484375,
2022-07-22,expiry,SPY_392C_20220722,4.265000000000001,3.089996337890625,4.0,-470.0014648437502,
2022-07-22,expiry,Daily Expiry PnL,,,,-1226.0029296875002,2.0
2022-09-09,expiry,SPY_440C_20220909,1.4249999999999998,0.0,4.0,-569.9999999999999,
2022-09-09,expiry,SPY_438C_20220909,1.76,0.0,4.0,-704.0,
2022-09-09,expiry,SPY_436C_20220909,2.165,0.0,4.0,-866.0,
2022-09-09,expiry,SPY_435C_20220909,2.4,0.0,4.0,-960.0,
2022-09-09,expiry,SPY_434C_20220909,2.65,0.0,4.0,-1060.0,
2022-09-09,expiry,Daily Expiry PnL,,,,-4160.0,5.0
2022-09-14,expiry,SPY_450C_20220914,1.3599999999999999,0.0,4.0,-544.0,
2022-09-14,expiry,SPY_448C_20220914,1.7,0.0,3.0,-509.99999999999994,
